ADM0_EN,ADM0_PCODE,ADM1_EN,ADM1_PCODE,ADM2_EN,ADM2_PCODE,Year,T,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80plus,M,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80plus,F,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80plus
Tanzania,TZ,DODOMA,TZ01,KONDOA,TZ0101,2020,311638,47166,50580,46483,31596,22043,18646,16840,15295,14145,11014,9775,7270,6234,5128,4382,2744,2297,160764,24121,26210,24447,18924,11912,9198,8238,7470,6951,5930,5028,3504,2663,2090,1873,1259,946,150874,23045,24370,22036,12672,10131,9448,8602,7825,7194,5084,4747,3766,3571,3038,2509,1485,1351
Tanzania,TZ,DODOMA,TZ01,MPWAPWA,TZ0102,2020,368137,58480,60193,51615,37430,29327,23970,23039,18978,17081,12354,9583,7394,5761,4683,3684,2419,2146,182081,29232,30347,26256,19680,14790,11770,11012,9204,8186,6217,4627,3408,2344,1746,1540,922,800,186056,29248,29846,25359,17750,14537,12200,12027,9774,8895,6137,4956,3986,3417,2937,2144,1497,1346
Tanzania,TZ,DODOMA,TZ01,KONGWA,TZ0103,2020,386458,64175,63734,52923,40778,31768,25753,23879,19645,17424,11777,9550,7117,5831,4558,3559,2033,1954,190515,32259,32170,26599,20936,15719,12547,11616,9426,8271,5974,4576,3284,2335,1746,1475,808,774,195943,31916,31564,26324,19842,16049,13206,12263,10219,9153,5803,4974,3833,3496,2812,2084,1225,1180
Tanzania,TZ,DODOMA,TZ01,CHAMWINO,TZ0104,2020,420529,70470,69618,55215,39497,31592,26467,25145,20868,21044,14508,11829,8546,7339,6672,5172,3364,3183,206899,35451,35486,28351,20925,15746,12852,11950,9749,9791,7173,5649,3903,2829,2525,2059,1305,1155,213630,35019,34132,26864,18572,15846,13615,13195,11119,11253,7335,6180,4643,4510,4147,3113,2059,2028
Tanzania,TZ,DODOMA,TZ01,DODOMA MUNICIPAL,TZ0105,2020,505425,64831,63348,59666,62512,54758,41978,34939,28023,25210,18576,14857,10959,8208,6959,4807,3166,2628,250229,32854,31989,29451,30826,28093,21227,17156,13700,12169,9546,7476,5364,3557,2772,1891,1234,924,255196,31977,31359,30215,31686,26665,20751,17783,14323,13041,9030,7381,5595,4651,4187,2916,1932,1704
Tanzania,TZ,DODOMA,TZ01,BAHI,TZ0106,2020,276916,48198,45683,34992,25243,20359,17981,16121,13494,13125,9118,8082,5909,5071,4778,3767,2582,2413,135397,24429,23150,18086,13403,10021,8556,7522,6410,6068,4373,3819,2657,1945,1775,1432,929,822,141519,23769,22533,16906,11840,10338,9425,8599,7084,7057,4745,4263,3252,3126,3003,2335,1653,1591
Tanzania,TZ,DODOMA,TZ01,CHEMBA,TZ0107,2020,293229,48261,48636,40436,28657,21371,19071,16804,14848,13451,9889,8569,6294,5255,4253,3595,2061,1778,149614,24538,25123,21009,16358,11023,9329,8208,7265,6761,5279,4452,3082,2236,1723,1602,896,730,143615,23723,23513,19427,12299,10348,9742,8596,7583,6690,4610,4117,3212,3019,2530,1993,1165,1048
Tanzania,TZ,ARUSHA,TZ02,MONDULI,TZ0201,2020,227005,40063,37598,30517,25032,18815,16076,13136,10950,9801,7243,5126,3867,2871,2239,1628,987,1056,109459,20472,18953,15158,12402,8228,7086,5880,4732,4562,3809,2602,1941,1158,927,711,403,435,117546,19591,18645,15359,12630,10587,8990,7256,6218,5239,3434,2524,1926,1713,1312,917,584,621
Tanzania,TZ,ARUSHA,TZ02,MERU,TZ0202,2020,312524,36810,40296,41840,37379,27311,23207,21471,19333,16078,12703,9730,7959,6095,4776,3199,2324,2013,157055,18884,20598,20988,19077,13856,11461,10732,9849,8233,6764,4850,3905,2689,2004,1389,1033,743,155469,17926,19698,20852,18302,13455,11746,10739,9484,7845,5939,4880,4054,3406,2772,1810,1291,1270
Tanzania,TZ,ARUSHA,TZ02,ARUSHA CITY,TZ0203,2020,536007,63641,55610,58077,70297,65648,55393,46901,37351,27914,18826,12665,9196,5829,3771,2298,1432,1158,264700,32453,27839,28027,31087,31252,27307,23526,19148,14951,10555,7106,4897,2877,1686,986,607,396,271307,31188,27771,30050,39210,34396,28086,23375,18203,12963,8271,5559,4299,2952,2085,1312,825,762
Tanzania,TZ,ARUSHA,TZ02,KARATU,TZ0204,2020,292100,42097,39920,39987,33766,26901,20369,19189,16412,14870,11527,7661,5549,4611,3549,2524,1526,1642,153068,21615,20525,20578,18297,14928,10946,10246,8767,7808,6387,4130,2776,2040,1489,1160,685,691,139032,20482,19395,19409,15469,11973,9423,8943,7645,7062,5140,3531,2773,2571,2060,1364,841,951
Tanzania,TZ,ARUSHA,TZ02,NGORONGORO,TZ0205,2020,231666,46130,41413,30511,23058,17917,16625,12742,10886,8873,6910,4760,3547,2882,1872,1633,866,1041,112168,23176,21053,15885,11977,7598,6970,5717,4763,4176,3422,2272,1731,1208,709,694,383,434,119498,22954,20360,14626,11081,10319,9655,7025,6123,4697,3488,2488,1816,1674,1163,939,483,607
Tanzania,TZ,ARUSHA,TZ02,ARUSHA,TZ0206,2020,412383,58456,55860,53963,52303,41448,33853,28449,23466,18130,13222,9394,7664,5466,4107,2870,1931,1801,202337,29820,28296,26538,25002,20105,16270,13786,11315,9070,6804,4613,3891,2400,1702,1229,822,674,210046,28636,27564,27425,27301,21343,17583,14663,12151,9060,6418,4781,3773,3066,2405,1641,1109,1127
Tanzania,TZ,ARUSHA,TZ02,LONGIDO,TZ0207,2020,178768,32282,30264,23941,19881,14580,13275,10747,8578,7075,5452,3665,2731,2218,1581,1152,707,639,89550,16292,15573,12720,10715,6623,6083,5185,3985,3473,2906,1807,1470,959,660,517,320,262,89218,15990,14691,11221,9166,7957,7192,5562,4593,3602,2546,1858,1261,1259,921,635,387,377
Tanzania,TZ,KILIMANJARO,TZ03,ROMBO,TZ0301,2020,284110,32128,37372,43848,31087,17564,13723,14499,14409,15505,13843,11977,11328,8450,6490,4806,3524,3557,137913,16234,18889,22334,15828,9204,6895,7120,6502,6976,6595,5423,5017,3605,2553,1998,1436,1304,146197,15894,18483,21514,15259,8360,6828,7379,7907,8529,7248,6554,6311,4845,3937,2808,2088,2253
Tanzania,TZ,KILIMANJARO,TZ03,MWANGA,TZ0302,2020,152977,17972,19541,21989,18825,11558,8913,8381,8292,7809,6811,5479,5042,3688,3253,2386,1727,1311,75126,9213,9991,11032,9963,5882,4437,3985,4032,3643,3370,2507,2155,1419,1196,1028,739,534,77851,8759,9550,10957,8862,5676,4476,4396,4260,4166,3441,2972,2887,2269,2057,1358,988,777
Tanzania,TZ,KILIMANJARO,TZ03,SAME,TZ0303,2020,336637,43011,46232,48682,39477,25317,20099,19252,18070,17255,14310,11229,9666,7529,6244,4459,3286,2519,168324,21932,23646,24679,21295,13222,10077,9502,8845,8471,7236,5410,4212,3051,2565,1810,1362,1009,168313,21079,22586,24003,18182,12095,10022,9750,9225,8784,7074,5819,5454,4478,3679,2649,1924,1510
Tanzania,TZ,KILIMANJARO,TZ03,MOSHI,TZ0304,2020,538028,56623,62525,71949,61473,39627,30803,30817,30862,30573,26440,21364,19691,16336,14655,10389,7846,6055,265336,28518,31918,36231,32119,21364,16027,15476,15112,14848,13381,10146,8530,6514,5568,4301,3035,2248,272692,28105,30607,35718,29354,18263,14776,15341,15750,15725,13059,11218,11161,9822,9087,6088,4811,3807
Tanzania,TZ,KILIMANJARO,TZ03,HAI,TZ0305,2020,259383,28795,29662,32928,29512,20274,16192,15969,15475,15202,12302,10530,9143,7106,5998,4489,3382,2424,128627,14820,14961,16864,15032,10581,8264,8093,7765,7486,6301,5062,3907,2917,2312,1900,1435,927,130756,13975,14701,16064,14480,9693,7928,7876,7710,7716,6001,5468,5236,4189,3686,2589,1947,1497
Tanzania,TZ,KILIMANJARO,TZ03,MOSHI MUNICIPAL,TZ0306,2020,221588,25187,20902,22921,29683,27108,21515,18348,15129,12032,8655,6599,5023,3253,2283,1391,891,668,109443,12863,10672,11071,13454,13610,11023,9354,7551,6099,4512,3383,2354,1349,988,574,351,235,112145,12324,10230,11850,16229,13498,10492,8994,7578,5933,4143,3216,2669,1904,1295,817,540,433
Tanzania,TZ,KILIMANJARO,TZ03,SIHA,TZ0307,2020,148239,20524,19938,19744,16509,11639,9409,9140,8845,7781,6246,4718,3956,3265,2519,1786,1199,1021,73759,10329,10107,9991,8610,5707,4692,4564,4422,3740,3284,2220,1869,1432,1056,777,518,441,74480,10195,9831,9753,7899,5932,4717,4576,4423,4041,2962,2498,2087,1833,1463,1009,681,580
Tanzania,TZ,TANGA,TZ04,LUSHOTO,TZ0401,2020,592199,85027,93708,90424,62817,38065,35017,32652,31319,28520,24960,18083,13912,12098,9733,7622,4546,3696,282719,43095,47565,45757,32484,17586,14791,14095,13571,12877,10953,8467,6359,4845,3825,3031,1915,1503,309480,41932,46143,44667,30333,20479,20226,18557,17748,15643,14007,9616,7553,7253,5908,4591,2631,2193
