,target
0,functional
1,functional
2,functional
3,non functional
4,functional
5,functional
6,non functional
7,non functional
8,non functional
9,functional
10,functional
11,functional
12,functional
13,functional
14,functional
15,functional
16,non functional
17,non functional
18,functional needs repair
19,functional
20,functional
21,functional
22,functional needs repair
23,functional
24,functional
25,functional needs repair
26,functional
27,functional
28,non functional
29,functional
30,functional
31,functional
32,functional needs repair
33,functional
34,functional
35,non functional
36,non functional
37,functional
38,functional
39,non functional
40,functional
41,functional
42,functional
43,non functional
44,functional needs repair
45,non functional
46,functional needs repair
47,functional
48,functional
49,functional
50,functional
51,non functional
52,functional
53,non functional
54,functional
55,non functional
56,functional
57,non functional
58,functional
59,functional needs repair
60,functional
61,non functional
62,functional needs repair
63,non functional
64,functional
65,non functional
66,functional
67,non functional
68,non functional
69,non functional
70,non functional
71,non functional
72,non functional
73,non functional
74,functional
75,non functional
76,functional
77,functional
78,non functional
79,functional
80,functional
81,functional needs repair
82,functional
83,functional
84,non functional
85,non functional
86,functional
87,non functional
88,non functional
89,functional needs repair
90,functional needs repair
91,non functional
92,non functional
93,functional
94,non functional
95,functional
96,non functional
97,functional
98,functional needs repair
99,non functional
100,non functional
101,functional
102,functional
103,functional needs repair
104,functional
105,functional
106,functional
107,non functional
108,non functional
109,functional
110,non functional
111,functional
112,functional
113,functional
114,non functional
115,non functional
116,functional
117,non functional
118,functional
119,non functional
120,non functional
121,functional
122,non functional
123,functional
124,functional
125,non functional
126,functional
127,functional
128,non functional
129,non functional
130,functional
131,functional
132,functional
133,functional
134,functional
135,functional
136,non functional
137,non functional
138,functional
139,functional
140,non functional
141,functional
142,non functional
143,functional
144,non functional
145,functional
146,functional needs repair
147,functional
148,non functional
149,functional
150,functional
151,functional
152,non functional
153,non functional
154,functional
155,non functional
156,functional
157,functional needs repair
158,functional
159,functional
160,functional
161,non functional
162,functional
163,functional
164,functional
165,functional
166,functional
167,non functional
168,functional
169,functional
170,functional
171,non functional
172,functional
173,functional
174,non functional
175,functional
176,functional
177,non functional
178,functional
179,non functional
180,functional
181,functional
182,functional
183,non functional
184,functional
185,functional
186,non functional
187,functional
188,functional needs repair
189,functional
190,non functional
191,functional
192,functional
193,non functional
194,functional
195,functional
196,functional
197,non functional
198,non functional
199,functional needs repair
200,functional
201,non functional
202,functional
203,functional
204,functional needs repair
205,non functional
206,functional
207,functional
208,non functional
209,functional
210,non functional
211,non functional
212,non functional
213,non functional
214,functional needs repair
215,non functional
216,functional needs repair
217,functional
218,functional
219,functional needs repair
220,functional
221,functional needs repair
222,non functional
223,functional
224,non functional
225,functional
226,functional
227,functional
228,functional
229,functional
230,functional
231,non functional
232,functional needs repair
233,non functional
234,non functional
235,non functional
236,non functional
237,functional needs repair
238,functional needs repair
239,non functional
240,non functional
241,non functional
242,non functional
243,non functional
244,functional
245,non functional
246,functional
247,functional
248,functional
249,non functional
250,functional
251,functional
252,non functional
253,functional needs repair
254,functional
255,non functional
256,non functional
257,non functional
258,functional
259,non functional
260,non functional
261,non functional
262,non functional
263,non functional
264,functional
265,non functional
266,functional needs repair
267,functional
268,functional
269,functional
